nombre,descripcion,tiempo,calorias,tipoDeEjercicio,puntosPorTipoDeEjercicio,dificultad
Pull-ups,Ejercicio de fuerza para la espalda,10,0,fuerza,8,intermedio
Tijeras,Ejercicio de cardio,10,0,cardio,6,principiante
Elevación de rodillas,Ejercicio de cardio,10,0,cardio,9,principiante
Salto con cuerda,Ejercicio de cardio,10,0,cardio,10,principiante
Abdominales,Ejercicio de fuerza para el abdomen,25,0,fuerza,6,intermedio
Zancadas,Ejercicio de fuerza para piernas,20,0,"fuerza,cardio","5,2",avanzado
Push-ups con rodillas,Ejercicio de fuerza,15,0,fuerza,4,principiante
Sentadillas,Ejercicio de fuerza para piernas,30,0,"fuerza,cardio","5,0",principiante
Plancha,Ejercicio de balance y fuerza,45,0,"balance,fuerza","6,3",intermedio
Mountain climbers,Ejercicio de cardio y fuerza,15,0,"cardio,fuerza","7,4",intermedio
Planchas laterales,Ejercicio de balance,30,0,balance,5,principiante
Bicicleta estática,Ejercicio de cardio,30,0,cardio,10,avanzado
Remo,Ejercicio de cardio y fuerza,20,0,"cardio,fuerza","7,6",intermedio
Saltos de estrella,Ejercicio de cardio,10,0,cardio,7,principiante
Sentadilla búlgara,Ejercicio de fuerza para piernas,20,0,fuerza,6,avanzado
Flexiones,Ejercicio de fuerza para el pecho y brazos,15,0,fuerza,7,intermedio
Sentadilla con salto,Ejercicio de fuerza y cardio,25,0,"fuerza,cardio","8,5",avanzado
Yoga,Ejercicio de balance y flexibilidad,60,0,balance,4,principiante
Deadlift,Ejercicio de fuerza para la espalda,15,0,fuerza,10,avanzado
Burpees,Ejercicio de cardio y fuerza,20,0,"cardio,fuerza","8,4",avanzado
