nombre,descripcion,tiempo,calorias,tipoDeEjercicio,puntosPorTipoDeEjercicio,dificultad
Bicicleta estatica,Ejercicio de cardio,900,100,cardio,10,avanzado
"Burpees,Ejercicio de cardio y fuerza,60,100,""cardio,fuerza"",""8,4"",avanzado"
Curl de Biceps,Ejercicio de Brazos,60,50,fuerza,10,avanzado
Deadlift,Ejercicio de fuerza para la espalda,60,50,fuerza,10,avanzado
Elevacion de cadera con barra,Ejercicio de Fuerza para gluteos,60,50,fuerza,10,avanzado
Peso muerto con barra,Ejercicio de Fuerza para muslos y gluteos,60,40,fuerza,10,avanzado
Peso muerto con mancuernas,Ejercicio de Fuerza para muslos y gluteos,60,40,fuerza,10,avanzado
"Remo con Mancuerna,Ejercicio de cardio y fuerza,120,40,""fuerza,cardio"",""8,5"",avanzado"
"Remo en plancha con Mancuerna,Ejercicio de cardio y fuerza,120,50,""fuerza,cardio"",""8,7"",avanzado"
Sentadilla bulgara,Ejercicio de fuerza para piernas,120,50,fuerza,8,avanzado
Sentadilla bulgara con mancuerna,Ejercicio de Fuerza para muslos y gluteos,120,50,fuerza,10,avanzado
"Sentadilla con salto,Ejercicio de fuerza y cardio,60,70,""fuerza,cardio"",""8,5"",avanzado"
"Zancada trasera y delantera,Ejercicio de fuerza para piernas,120,70,""cardio,fuerza"",""5,2"",avanzado"
"Zancada con mancuernas,Ejercicio de fuerza para piernas,120,80,""cardio,fuerza"",""7,5"",avanzado"
"Zancada lateral con mancuerna,Ejercicio de fuerza para piernas,120,70,""cardio,fuerza"",""7,5"",avanzado"
Abdominales,Ejercicio de fuerza para el abdomen,60,50,fuerza,6,intermedio
Flexiones,Ejercicio de fuerza para el pecho y brazos,60,50,fuerza,7,intermedio
"Mountain climbers,Ejercicio de cardio y fuerza,60,80,""cardio,fuerza"",""7,4"",intermedio"
"Plancha,Ejercicio de balance y fuerza,45,70,""balance,fuerza"",""6,3"",intermedio"
Press de Hombros,Ejercicio de fuerza para hombros,60,50,fuerza,7,intermedio
Press de pectoral,Ejercicio de fuerza para pectoral,60,50,fuerza,7,intermedio
Pull-ups,Ejercicio de fuerza para la espalda,60,70,fuerza,7,intermedio
"Remo,Ejercicio de cardio y fuerza,60,100,""cardio,fuerza"",""7,6"",intermedio"
"Sentadilla con mancuernas,Ejercicio de fuerza para piernas y gluteos,60,100,""fuerza,cardio"",""5,2"",intermedio"
"Sentadilla de zumo con mancuerna,Ejercicio de fuerza para piernas y aductores,60,100,""fuerza,cardio"",""5,2"",intermedio"
Patada de Gluteo con polea,Ejercicio de fuerza para piernas y gluteos,120,120,fuerza,7,intermedio
Patada lateral con polea,Ejercicio de fuerza para piernas y gluteos,120,120,fuerza,7,intermedio
"Sentadilla con una pierna,Ejercicio de cardio y equilibrio,120,120,""balance,fuerza"",""5,5"",intermedio"
"Zancada con torsion,Ejercicio de cardio y equilibrio,120,120,""balance,cardio"",""5,2"",intermedio"
"Peso muerto con una pierna,Ejercicio de cardio y equilibrio,120,120,""balance,fuerza"",""5,6"",intermedio"
"Puente de gluteos con una pierna,Ejercicio de cardio y equilibrio,60,80,""balance,cardio"",""5,2"",intermedio"
"Giros rusos,Ejercicio de abdominales y equilibrio,60,90,""balance,fuerza"",""7,2"",intermedio"
Elevacion de rodillas,Ejercicio de cardio,60,100,cardio,6,principiante
"Elevacion de piernas,Ejercicio de abdominales   ,60,100,""fuerza,cardio"",6,principiante"
Patada de Triceps,Ejercicio de fuerza para triceps,60,50,fuerza,5,principiante
Planchas laterales,Ejercicio de balance y abdominales,90,100,balance,5,principiante
Planchas oblicuas,Ejercicio de balance y abdominales,60,120,balance,5,principiante
Push-ups con rodillas,Ejercicio de fuerza,60,100,fuerza,4,principiante
Salto con cuerda,Ejercicio de cardio,900,120,cardio,5,principiante
Saltos de estrella,Ejercicio de cardio,60,120,cardio,7,principiante
"Sentadilla,Ejercicio de fuerza para piernas,60,80,""fuerza,cardio"",""5,2"",principiante"
Tijeras,Ejercicio de cardio,60,100,cardio,6,principiante
Yoga,Ejercicio de balance y flexibilidad,900,80,balance,7,principiante
"Patinador,Ejercicio de cardio y equilibrio,120,80,""balance,cardio"",""6,3"",principiante"
Cinta,Ejercicio de calentamiento,900,120,cardio,5,principiante
Trote en el sitio,Ejercicio de calentamiento,900,120,cardio,5,principiante
Elevacion lateral de brazos,Ejercicio de calentamiento,60,20,cardio,5,principiante
Rotacion de cuello,Ejercicio de calentamiento,60,20,cardio,5,principiante
Extencion de muslos,Ejercicio de elongacion,60,20,balance,5,principiante
Extencion de isquiotibiales,Ejercicio de elongacion,60,20,balance,5,principiante
Extencion de pantorrillas,Ejercicio de elongacion,60,20,balance,5,principiante
Extencion de columna y caderas,Ejercicio de elongacion,60,20,balance,5,principiante
Inclinacion de cabeza,Ejercicio de elongacion,60,20,balance,5,principiante
Extencion de hombros,Ejercicio de elongacion,60,20,balance,5,principiante
Extencion de gluteos,Ejercicio de elongacion,60,20,balance,5,principiante
