nombre,descripcion,tiempo,calorias,tipoDeEjercicio,puntosPorTipoDeEjercicio,dificultad
Pull-ups,Ejercicio de fuerza para la espalda,10,0,fuerza,8,intermedio
Estiramiemto,son leves estiramientos de los músculos trabajadosenla rutina a cargo del profesor de turno,5,10,balance,3,avanzado
Cinta,"utilizada para caminar, trotar o correr",15,100,cardio,5,ninguna
Mountain climbers,Ejercicio de cardio y fuerza,15,0,"cardio,fuerza","7,4",intermedio
Tijeras,Ejercicio de cardio,10,0,cardio,6,principiante
Salto con cuerda,Ejercicio de cardio,10,0,cardio,10,principiante
Remo,Ejercicio de cardio y fuerza,20,0,"cardio,fuerza","7,6",intermedio
Zancadas,Ejercicio de fuerza para piernas,20,0,"fuerza,cardio","5,2",avanzado
Flexiones,Ejercicio de fuerza para el pecho y brazos,15,0,fuerza,7,intermedio
Sentadilla búlgara,Ejercicio de fuerza para piernas,20,0,fuerza,6,avanzado
Plancha,Ejercicio de balance y fuerza,45,0,"balance,fuerza","6,3",intermedio
Deadlift,Ejercicio de fuerza para la espalda,15,0,fuerza,10,avanzado
Bicicleta estática,Ejercicio de cardio,30,0,cardio,10,avanzado
Burpee,,0,0,,0,
Prueba,xxxxxxxxxxxxxxx,99,99,"furza,xxxxx","9,9",avanzado
Saltos de estrella,Ejercicio de cardio,10,0,cardio,7,principiante
Sentadilla con salto,Ejercicio de fuerza y cardio,25,0,"fuerza,cardio","8,5",avanzado
Yoga,Ejercicio de balance y flexibilidad,60,0,balance,4,principiante
Sentadillas,Ejercicio de fuerza para piernas,30,0,"fuerza,cardio","5,0",principiante
Planchas laterales,Ejercicio de balance,30,0,balance,5,principiante
Entrada en calor,son 5 minutos de caminata o bicicleta fija,5,60,cardio,1,2
Elevación de rodillas,Ejercicio de cardio,10,0,cardio,9,principiante
Push-ups con rodillas,Ejercicio de fuerza,15,0,fuerza,4,principiante
Abdominales,Ejercicio de fuerza para el abdomen,25,0,fuerza,6,intermedio
Burpees,Ejercicio de cardio y fuerza,20,0,"cardio,fuerza","8,4",avanzado
0,0,cardio,10,avanzado
